Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
397,turkey bologna,59,4.5,1.2,1.9,1.1,1.3,0.8,3.2,0.1,21,0.3,18.1,0.025,0.046,0.098,0,0.085,0.7,0.1,0.004,3.7,0.032,0.1,0.037,34.4,0.04,0.8,4.5,0.086,31.9,37.8,0.059,0.4,48.096,
398,sliced turkey breast,17,0.6,0.1,0.2,0.2,0.4,0.1,2.4,0,7.8,0.1,12.2,0.038,0,0.084,0.021,0.076,0.087,1.1,0.089,0.006,0,0.049,0.007,0,2.2,0.023,0.051,3,0.025,39.8,59.4,0.097,3.572,
399,luncheon meat pork beef,99,9,3.2,4.2,1,0.7,0,3.5,0,15.4,0.4,13.8,0,0.072,0.011,0.028,0.074,0.8,0.2,0.025,0,0.094,0.038,0.058,2.5,0.041,0.2,3.9,0.092,24.1,56.6,0.058,0.5,15.9,
400,beef bologna,90,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0,17.1,0.3,16.6,0.4,0.043,0.019,0.052,0.031,0.014,0.7,0.1,0.085,4.6,0.083,0.2,0.053,6.3,0.01,0.4,3.9,0.055,46.2,105.3,0.018,12.962,
401,turkey bacon cooked,313,22.9,6.8,8.9,5.6,2.5,0,24.3,0,80.4,1.9,26.7,0,0.04,0.021,0.045,0.2,2.9,0,0.3,0,0.076,0.8,0.028,7.4,0.1,1.7,23.8,0,377.2,323.9,0.092,2.5,58.8,
402,ground emu cooked,178,5.1,1.4,2.1,0.7,0,0,31,0,94.8,0.025,71.8,0.2,0,0.3,0.038,0.014,0.6,9.7,3.4,0.9,0,0,0.3,0.044,8.7,0.3,5.5,31.6,0.085,293.2,408.8,0.044,37.595,
403,ostrich leg raw,94,1.5,0.5,0.5,0.3,0,0,19,0,56.1,0.067,64.6,0,0.2,0.034,0.097,0.3,4.1,1,0.4,0,0,0.2,0,4.3,0.1,2,18.7,0.06,187,272,0.026,3.3,26.8,
404,ostrich strip raw,108,2.4,0.8,1,0.5,0,0,20.1,0,62.1,0.086,63,0,0.2,0.011,0.03,0.3,4.4,1.1,0.5,0,0,0.2,0,4.3,0.1,3.6,19.6,0.088,192.1,280.5,0.005,3.4,30.4,
405,emu fillet cooked,60.7,0.91,0.23,0.36,0.13,0,0,12.32,0,32.31,0.02,26.17,0,0.14,0.005,0.0062,0.24,3.87,1.33,0.36,0,0,0.09,0,2.36,0.09,1.8,11.82,0.01,107.17,156.42,0.02,1.26,17.39,
406,ostrich tenderloin raw,105,2.7,1,1,0.6,0,0,18.8,0,68,0.005,63.3,0,0.2,0.1,0.049,0.2,4.1,1,0.4,0,0,0.2,0,5.1,0.1,4.1,18.7,0.019,187,272,0.087,3.3,30.7,
407,emu drums cooked,64.9,0.84,0.27,0.36,0.17,0,0,13.47,0,37.86,0.05,26.75,0.0084,0.17,0.0042,0.0084,0.26,4.23,1.46,0.39,0,0,0.1,0,2.5,0.11,3.02,13.73,0.01,127.71,129.79,0.02,2.12,19.8375,
